,1st flr sf,2nd flr sf,bedroom abvgr,bldg type,bsmt full bath,bsmt half bath,central air,condition 1,condition 2,electrical,enclosed porch,exter cond,exter qual,exterior 1st,exterior 2nd,fireplaces,full bath,functional,garage cars,gr liv area,half bath,heating,heating qc,id,kitchen abvgr,kitchen qual,land contour,land slope,lot area,lot config,lot shape,ms subclass,ms zoning,open porch sf,overall cond,overall qual,paved drive,roof matl,roof style,saleprice,screen porch,street,totrms abvgrd,total bsmt sf,utilities,wood deck sf,year built,year remod/add,baths,overall,outside area,condition,exter_net_quality,exterior cover,neighborhood_blueste,neighborhood_brdale,neighborhood_brkside,neighborhood_clearcr,neighborhood_collgcr,neighborhood_crawfor,neighborhood_edwards,neighborhood_gilbert,neighborhood_greens,neighborhood_grnhill,neighborhood_idotrr,neighborhood_landmrk,neighborhood_meadowv,neighborhood_mitchel,neighborhood_names,neighborhood_npkvill,neighborhood_nwames,neighborhood_noridge,neighborhood_nridght,neighborhood_oldtown,neighborhood_swisu,neighborhood_sawyer,neighborhood_sawyerw,neighborhood_somerst,neighborhood_stonebr,neighborhood_timber,neighborhood_veenker,foundation_cblock,foundation_pconc,foundation_slab,foundation_stone,foundation_wood,house style_1.5unf,house style_1story,house style_2.5fin,house style_2.5unf,house style_2story,house style_sfoyer,house style_slvl
0,725,754,3,0,0.0,0.0,0,0,1,0,0,1,1,1,1,0,2,0,2.0,1479,1,0,1,109,1,1,Lvl,0,13517,CulDSac,0,60,0,44,8,6,0,0,1,130500.0,0,0,6,725.0,0,0,1976,2005,3.0,48,44,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,913,1209,4,0,1.0,0.0,0,1,1,0,0,1,1,1,1,1,2,0,2.0,2122,1,0,1,544,1,1,Lvl,0,11492,CulDSac,0,60,0,74,5,7,0,0,1,220000.0,0,0,8,913.0,0,0,1996,1997,4.0,35,74,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2,1057,0,3,0,1.0,0.0,0,1,1,0,0,1,1,1,1,0,1,0,1.0,1057,0,0,1,153,1,1,Lvl,0,7922,Inside,0,20,0,52,7,5,0,0,1,109000.0,0,0,5,1057.0,0,0,1953,2007,2.0,35,52,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
3,744,700,3,0,0.0,0.0,0,1,1,0,0,1,1,1,1,0,2,0,2.0,1444,1,0,1,318,1,1,Lvl,0,9802,Inside,0,60,0,0,5,5,0,0,1,174000.0,0,0,7,384.0,0,100,2006,2007,3.0,25,100,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
4,831,614,3,0,0.0,0.0,0,1,1,0,0,1,1,1,1,0,2,0,2.0,1445,0,0,1,255,1,1,Lvl,0,14235,Inside,0,50,0,59,8,6,1,0,1,138500.0,0,0,6,676.0,0,0,1900,1993,2.0,48,59,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,1888,0,2,0,0.0,0.0,0,1,1,0,0,1,1,1,1,1,2,1,2.0,1888,1,0,1,138,1,1,Lvl,0,16492,Corner,0,20,0,0,6,6,0,0,1,190000.0,0,0,6,1517.0,0,0,1966,2002,3.0,36,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
6,1072,0,2,1,1.0,0.0,0,1,1,0,0,1,1,1,1,0,2,0,2.0,1072,0,0,1,2827,1,1,Lvl,0,3675,Inside,0,180,0,44,5,6,0,0,1,140000.0,0,0,5,547.0,0,0,2005,2006,3.0,30,44,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
7,1188,0,3,0,1.0,0.0,0,1,1,0,0,1,1,1,1,0,1,0,2.0,1188,0,0,0,145,1,1,Lvl,0,12160,Inside,0,20,0,0,5,5,0,0,1,142000.0,0,0,6,1188.0,0,0,1959,1959,2.0,25,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
8,924,0,2,0,0.0,0.0,0,1,1,0,0,1,1,1,1,0,1,0,1.0,924,0,0,1,1942,1,1,Lvl,0,15783,Inside,0,20,0,324,5,5,0,0,1,112500.0,0,0,6,924.0,0,0,1952,1952,1.0,25,324,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
9,1040,1040,5,0,0.0,1.0,0,1,1,0,0,1,1,1,1,2,1,0,2.0,2080,2,0,1,1956,1,0,HLS,1,11606,Inside,0,60,0,0,5,5,0,0,1,135000.0,0,0,9,1040.0,0,335,1969,1969,4.0,25,335,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
